kintetsu-kyoto-line,近鉄京都線,きんてつきょうとせん
kintetsukyotoline,近鉄京都線,きんてつきょうとせん
kintetsu-line,近鉄線,きんてつせん
kintetsuline,近鉄線,きんてつせん
kintetsu,近鉄線,きんてつせん
shinkansen,新幹線,しんかんせん
bullet-train,新幹線,しんかんせん
bullettrain,新幹線,しんかんせん
kosei-line,湖西線,こさいせん
koseiline,湖西線,こさいせん
tokaido-line,東海道本線,とうかいどうほんせん
tokaidoline,東海道本線,とうかいどうほんせん
nara-line,奈良線,ならせん
naraline,奈良線,ならせん
hankyu-train,阪急電車,はんきゅうでんしゃ
hankyutrain,阪急電車,はんきゅうでんしゃ
hankyu-railway,阪急電車,はんきゅうでんしゃ
hankyurailway,阪急電車,はんきゅうでんしゃ
keihan-line,京阪電車,けいきゅうでんしゃ
keihanline,京阪電車,けいきゅうでんしゃ
keihan-electric-railway,京阪電車,けいはんでんしゃ
keihanelectricrailway,京阪電車,けいはんでんしゃ
karasuma-line,烏丸線,からすません
karasumaline,烏丸線,からすません
kyoto-line,京都線,きょうとせん
kyotoline,京都線,きょうとせん
biwako-line,琵琶湖線,びわこせん
biwakoline,琵琶湖線,びわこせん
