伏見稲荷大社,fushimiinaritaisha, ふしみいなりたいしゃ
愛宕念仏寺,atagonembutsutera, あたごねんぶつじ
化野念仏寺,adashinonembutsuji, あだしのねんぶつじ
大覚寺,daikakuji,だいかくじ
祇園寺,gionji,ぎおんじ
二尊院,nisonin,にそんいん
常寂光寺,jojakukoji,じょうじゃくこうじ
清涼寺,seiryoji,せいりょうじ
天龍寺,tenryuji,てんりゅうじ
法輪寺,horinji,ほうりんじ
松尾大社,matsuotaisha,まつおたいしゃ
鈴虫寺,suzumushidera,すずむしでら
華厳寺,kegonji,けごんじ
梅宮大社,umemiyataisha,うめみやたいしゃ
車折神社,kurumaorijinja,くるまおりじんじゃ
西芳寺,saihoji,さいほうじ
勝持寺,shojiji,しょうじじ
金蔵寺,konzoji,こんぞうじ
善峯寺,yoshiminedera,よしみねでら
光明寺,komeiji,こうめいじ
長岡天満宮,nagaokatenmangu,ながおかてんまんぐう
乙訓寺,otokunitera,おとくにてら
桂離宮,katsurarikyu,かつらりきゅう
城南宮,jonangu,じょうなんぐう
御香宮神社,gokomiyajinja,ごこうみやじんじゃ
藤森神社,fujimorijinja,ふじもりじんじゃ
東福寺,tofukuji,とうふくじ
三十三間堂,sanjusangendo,さんじゅうさんげんどう
壬生寺,mibudera,みぶでら
六波羅蜜寺,rokuharamitsuji,ろくはらみつじ
唐招提寺,toshodaiji,とうしょうだいじ
建仁寺,kenninji,けんにんじ
太秦広隆寺,uzumasakoryuji,うずまさこうりゅうじ
法金剛院,hokongoin,ほうこんごういん
妙心寺,myoshinji,みょうしんじ
等持院,tojiin,とうじいん
平野神社,hiranojinja,ひらのじんじゃ
北野天満宮,kitanotenmangu,きたのてんまんぐ
晴明神社,seimeijinja,せいめいじんじゃ
熊野神社,kumanojinja,くまのじんじゃ
相国寺,shokokuji,しょうこくじ
法鏡寺,hokyoji,ほうきょうじ
大徳寺,daitokuji,だいとくじ
今宮神社,imamiyajinja,いまみやじんじゃ
光悦時,koetsutoki,こうえつじ
源光庵,genkoan,げんこうあん
常照寺,joshoji,じょうしょうじ
太田神社,otajinja,おおたじんじゃ
実相院,jissoin,じっそうじ
鞍馬寺,kuramayamadera,くらまやまでら
貴船神社,kifunejinja,きふねじんじゃ
延暦寺,enryakuji,えんりゃくじ
三宅八幡,miyakehachiman,みやけはちまん
赤山禅院,sekizansenin,せきざんぜんいん
修学院離宮,shugakuinrikyu,しゅうがくいんりきゅう
曼殊院,manjuin,まんじゅいん
圓光寺,enkoji,えんこうじ
詩仙堂,shisendo,しせんどう
吉田神社,yoshidajinja,よしだじんじゃ
真如堂,shinnyodo,しんにょうどう
金戒光明寺,konkaikyomyoji,こんかいこうみょうじ
平安神宮,heianjingu,へいあんじんぐう
永観堂,eikando,えいかんどう
青蓮院,seirenin,せいれんいん
知恩院,chionin,ちおいん
高台寺,kodaiji,こうだいじ
地主神社,jinushijinja,じぬしじんじゃ
泉涌寺,sennyuji,せんにゅうじ
大石神社,oishijinja,おおいしじんじゃ
勧修寺,kanshuji,かんしゅうじ
隨心院,zuishinin,ずいしんいん
醍醐寺,daigoji,だいごじ
毘沙門堂,bishamondo,びしゃもんどう
南禅寺,nanzenji,なんぜんじ
萬福寺,manpukuji,まんぷくじ
三室戸寺,mimurotoji,みむろとじ
栂尾高山寺,tsugaokosanji,つがおこうさんじ
神護寺,jingoji,じんごじ
広隆寺,koryuji,こうりゅうじ
石山寺,ishiyamadera,いしやまでら
三井寺,miidera,みいでら
堅田浮御堂,katadaukimido,かただうきみどう
満月寺浮御堂,mangetsujiukimido,まんげつじうきみどう
大原三千院,oharasanzenin,おおはらさんぜんいん
日吉大社,hiyoshitaisha,ひよしたいしゃ
日野法界寺,hinohokaiji,ひのほうかいじ
日野誕生院,hinotanjoin,ひのたんじょういん
法界寺,hokaiji,ほうかいじ
智積院,chishakuin,ちしゃくいん
六角堂,rokkakudo,ろっかくどう
えびす神社,ebisujinja,えびすじんじゃ
印空寺,inkuji,いんくうじ
専修寺京都別院,senshujikyotobetsuin,せんしゅうじきょうとべついん
大仙寺,daisenin,だいせんいん
了徳寺,ryotokuji,りょうとくじ
福王子神社,fukuojijinja,ふくおうじじんじゃ
暲子内親王墓,akikoshinonohaka,あきこないしんのうのはか
源光寺,genkoji,げんこうじ
桂宮院,katsuranomiyain,かつらのみやいん
太子堂,taishido,たいしどう
三吉稲荷,sankichinarijinja, さんきちいなりじんじゃ
雲晴寺,kumoharetera
蛇塚古墳,hebitsukakofun
本瑞寺,hommizutera
猿田彦神社,sarutabikojinja
水子供養寺,mizukokuyotera
念仏時,nembutsuji
角坊別院,sumibobetsuin
法金剛院,hokongoin
退蔵院,taizoin
竜泉庵,ryusenan
養源院,yogenin
玉鳳院,tamaotoriin
大心院,daishinin
東林院,higashirinin
大通院,daitsuin
春光院,shunkoin
麟祥院,rinshoin
大雄院,taiyuin
桂春院,katsuraharuin
麟華院,in
天球院,tenkyuin
妙心寺,myoshinji
長泉寺,chosenji
兼好法師旧跡,kenkohoshikyuseki
蓮華寺,rengeji
仁和寺,ninnaji
等持院,tojiin
不思議不動院,fushigifudoin
わら天神,waratenjin
大将軍八神社,daishogunhachijinja
