fushimiinaritaisha,伏見稲荷大社, ふしみいなりたいしゃ
atagonembutsutera,愛宕念仏寺, あたごねんぶつじ
adashinonembutsuji,化野念仏寺, あだしのねんぶつじ
daikakuji,大覚寺,だいかくじ
gionji,祇園寺,ぎおんじ
nisonin,二尊院,にそんいん
jojakukoji,常寂光寺,じょうじゃくこうじ
seiryoji,清涼寺,せいりょうじ
tenryuji,天龍寺,てんりゅうじ
horinji,法輪寺,ほうりんじ
matsuotaisha,松尾大社,まつおたいしゃ
suzumushidera,鈴虫寺,すずむしでら
kegonji,華厳寺,けごんじ
umemiyataisha,梅宮大社,うめみやたいしゃ
kurumaorijinja,車折神社,くるまおりじんじゃ
saihoji,西芳寺,さいほうじ
shojiji,勝持寺,しょうじじ
konzoji,金蔵寺,こんぞうじ
yoshiminedera,善峯寺,よしみねでら
komeiji,光明寺,こうめいじ
nagaokatenmangu,長岡天満宮,ながおかてんまんぐう
otokunitera,乙訓寺,おとくにてら
katsurarikyu,桂離宮,かつらりきゅう
jonangu,城南宮,じょうなんぐう
gokomiyajinja,御香宮神社,ごこうみやじんじゃ
fujimorijinja,藤森神社,ふじもりじんじゃ
tofukuji,東福寺,とうふくじ
sanjusangendo,三十三間堂,さんじゅうさんげんどう
mibudera,壬生寺,みぶでら
rokuharamitsuji,六波羅蜜寺,ろくはらみつじ
toshodaiji,唐招提寺,とうしょうだいじ
kenninji,建仁寺,けんにんじ
uzumasakoryuji,太秦広隆寺,うずまさこうりゅうじ
hokongoin,法金剛院,ほうこんごういん
myoshinji,妙心寺,みょうしんじ
tojiin,等持院,とうじいん
hiranojinja,平野神社,ひらのじんじゃ
kitanotenmangu,北野天満宮,きたのてんまんぐ
seimeijinja,晴明神社,せいめいじんじゃ
kumanojinja,熊野神社,くまのじんじゃ
shokokuji,相国寺,しょうこくじ
hokyoji,法鏡寺,ほうきょうじ
daitokuji,大徳寺,だいとくじ
imamiyajinja,今宮神社,いまみやじんじゃ
koetsutoki,光悦時,こうえつじ
genkoan,源光庵,げんこうあん
joshoji,常照寺,じょうしょうじ
otajinja,太田神社,おおたじんじゃ
jissoin,実相院,じっそうじ
kuramayamadera,鞍馬寺,くらまやまでら
kifunejinja,貴船神社,きふねじんじゃ
enryakuji,延暦寺,えんりゃくじ
miyakehachiman,三宅八幡,みやけはちまん
sekizansenin,赤山禅院,せきざんぜんいん
shugakuinrikyu,修学院離宮,しゅうがくいんりきゅう
manjuin,曼殊院,まんじゅいん
enkoji,圓光寺,えんこうじ
shisendo,詩仙堂,しせんどう
yoshidajinja,吉田神社,よしだじんじゃ
shinnyodo,真如堂,しんにょうどう
konkaikyomyoji,金戒光明寺,こんかいこうみょうじ
heianjingu,平安神宮,へいあんじんぐう
eikando,永観堂,えいかんどう
seirenin,青蓮院,せいれんいん
chionin,知恩院,ちおいん
kodaiji,高台寺,こうだいじ
jinushijinja,地主神社,じぬしじんじゃ
sennyuji,泉涌寺,せんにゅうじ
oishijinja,大石神社,おおいしじんじゃ
kanshuji,勧修寺,かんしゅうじ
zuishinin,隨心院,ずいしんいん
daigoji,醍醐寺,だいごじ
bishamondo,毘沙門堂,びしゃもんどう
nanzenji,南禅寺,なんぜんじ
manpukuji,萬福寺,まんぷくじ
mimurotoji,三室戸寺,みむろとじ
tsugaokosanji,栂尾高山寺,つがおこうさんじ
jingoji,神護寺,じんごじ
koryuji,広隆寺,こうりゅうじ
ishiyamadera,石山寺,いしやまでら
miidera,三井寺,みいでら
katadaukimido,堅田浮御堂,かただうきみどう
mangetsujiukimido,満月寺浮御堂,まんげつじうきみどう
oharasanzenin,大原三千院,おおはらさんぜんいん
hiyoshitaisha,日吉大社,ひよしたいしゃ
hinohokaiji,日野法界寺,ひのほうかいじ
hinotanjoin,日野誕生院,ひのたんじょういん
hokaiji,法界寺,ほうかいじ
chishakuin,智積院,ちしゃくいん
rokkakudo,六角堂,ろっかくどう
ebisujinja,えびす神社,えびすじんじゃ
inkuji,印空寺,いんくうじ
senshujikyotobetsuin,専修寺京都別院,せんしゅうじきょうとべついん
daisenin,大仙寺,だいせんいん
ryotokuji,了徳寺,りょうとくじ
fukuojijinja,福王子神社,ふくおうじじんじゃ
akikoshinonohaka,暲子内親王墓,あきこないしんのうのはか
genkoji,源光寺,げんこうじ
katsuranomiyain,桂宮院,かつらのみやいん
