1,daiwa-roynet-hotel-kyoto-shijo-karasuma
2,daiwaroynethotelkyotoshijokarasuma
3,mitsui-garden-hotel-kyoto-shijo
4,apahotelkyotoekihorikawadori
5,mitsuigardenhotelkyotoshijo
6,hotel-nikko-princess-kyoto
7,apavillahotelkyotoekimae
8,rihga-royal-hotel-kyoto
9,rihgaroyalhotelkyoto
10,apahotelkyotoekimae
11,mitsui-garden-hotel
12,aeon-mall-location
13,rihga-royal-hotel
14,mitsuigardenhotel
15,hatoya-zuihokaku
16,dainitowerhotel
17,hatoyazuihokaku
18,rihgaroyalhotel
19,iorimachiyastay
20,zennikkuhotel
21,tokyu-hotel
22,tokyu-hands
23,tokyuhands
24,elinnkyoto
25,tokyuhotel
26,hotelnikko
27,ana-hotel
28,aeon-mall
29,hiiragiya
30,apahotel
31,anahotel
32,aeonmall
